Box 3D Upload;Box:3D
Box 3D Download;Box:3D
Box 3D Notification;Box:3D
Box 3D Check;Box:3D
Box 3D Cross;Box:3D
Box 3D Question Mark;Box:3D
Box 3D Scan;Box:3D
Package Box;Delivery Package:Shipping
Delivery Truck;Delivery Package:Shipping
Search;Magnifying Glass:Find:Discover
Stack;Dashboard:List:Cards
Security Shield;Security:Shield:Lock
Shield Cross;Security:Shield:Lock:Cross:Multiply
Shield Check;Security:Shield:Lock:Check:Tick
Shield Plus;Security:Shield:Lock:Add:Addition:Plus
Shiled Minus;Security:Shield:Lock:Subtract:Dash:Minus
Shield Question Mark;Security:Shield:Lock:Question Mark
Eye;Password:Show Password:Eyes
Eye Off;Password:Show Password:Eyes
Eye Closed;Password:Show Password:Eyes
Key;Lock:Security:Keys
Fingerprint;Finger:Security
Fingerprint minimal;Finger:Security
Scan;Scanner
Scan User;User
QR Code;Quick Response Code
Bar Code Scan;Bar Code
Lock;Password:Security:Safe:Encrypted
Unlocked;Password:Security:Safe:Encrypted
Dots Menu;Menu:Ellipsis Menu
Moon;Night:Lunar:Night Mode
Star;Stars:First
Stars A;Stars:Light:Glitter
Stars B;Stars:Light:Glitter
Stars C;Stars:Light:Glitter
Star Square;Stars:Light:Glitter:Square
Star Circle;Stars:Light:Glitter:Coin
Star Moving;Stars:Fast:First
Sun;Light:Light Mode
Cancel;Close:Delete:Abort:Stop
Alarm Clock;Time:Reminder:Clock:Alarm
Clock;Time:Reminder:Clock:Alarm
Hour Glass;Time:Reminder:Clock:Alarm
Calendar;Date:Schedule
Calendar 2;Date:Schedule
Calendar 3;Date:Schedule
Calendar Plus;Date:Schedule:Add:Plus
Calendar Minus;Date:Schedule:Subtract:Minus
Calendar Download;Date:Schedule:Download
Calendar Upload;Date:Schedule:Upload
Calendar Check;Date:Schedule:Tick:Check
Calendar Cross;Date:Schedule:Close:Cross:X
Calendar Question Mark;Date:Schedule:Question Mark
Folder;Storage:File Folder:Document:Directory
Folder 2;Storage:File Folder:Document:Directory
Folder Plus;Storage:File Folder:Document:Directory:Add: Plus
Folder Minus;Storage:File Folder:Document:Directory:Minus:Subtract:Dash
Folder Cross;Storage:File Folder:Document:Directory:Cross:Multiply
Folder Check;Storage:File Folder:Document:Directory:Tick:Check
Folder Open;Storage:File Folder:Document:Directory
File Records;Storage:File Folder:Document:Directory
Clipboard;Document:Copy:Notes
Clipboard 2;Document:Copy:Notes
File;Document:Paper
File 2;Document:Paper
File Plus;Document:Paper
File Minus;Document:Paper:Subtract:Dash
File Download;Document:Paper:Arrow:Arrow Down:Transfer:Save:Import
File Upload;Document:Paper:Arrow:Arrow Up:Transfer:Send:Export
File Check;Document:Paper:Tick
File Question Mark;Document:Paper:Question Mark
File Cross;Document:Paper:Cross:Multiply
Book;Text:Copy:File:Paper
Book Text;Paper:Text:Copy:File
Note;Paper:Sticker
Note With Text;Paper:Sticker
Round Sticker;Paper:Sticker
Note Text;Paper:Sticker
Checklist Note;Dashes:List:Bullet:Paper
Contact Book;Diary:Contacts:Users
Archive;Box:Archived:Download
Box;Box
Box Plus;Plus:Add
Box Minus;Subtract
Box Upload;Up
Box Check;Check
Box Cross;Close:X
Box Question Mark;Question Mark
Archive Drawer;Drawer:Archive
Copy;Duplicate:Clone
External Link;Hyperlink:External Website Link:URL
Link;URL:HyperLink
Attachment;Paper Clip
Edit;Pencil:Pen:Modify
Pen;Pencil:Pen:Modify
Edit Pen;Pencil:Pen:Modify
Checklist;Dashes:List:Bullet:Points
Arrowlist;List:Dashes:Bullet:Points
Zoom In;Magnifying Glass:Magnify:Expand
Zoom Out;Magnifying Glass:Reduce:Contract
Share;Share
Flag;Banner
Bookmark;Save:Favourite:Mark:Tag
Bookmark Plus;Save:Favourite:Mark:Tag
Bookmark Minus;Save:Favourite:Mark:Tag
Bookmark Download;Save:Favourite:Mark:Tag
Bookmark Upload;Save:Favourite:Mark:Tag
Bookmark Check;Save:Favourite:Mark:Tag
Bookmark Cross;Save:Favourite:Mark:Tag
Bookmark Question Mark;Save:Favourite:Mark:Tag
Filter;Funnel:Sort
Filter 2;Funnel:Sort
Filter Square;Funnel:Sort
User;Person:Human:Profile:Account:Avatar
User Plus;Add
User Minus;Subtract:Dash
User Check;Tick
User Cross;X:Cancel
User Question Mark;Question
Users;Person:Human:Profile:Account:Avatar
Tube;Support Tube:Support:Floatie:Ring
Magnet Up;Metal:Utility
Magnet Right;Metal:Utility
Magnet Down;Metal:Utility
Magnet Left;Metal:Utility
Zap;Electricity:Current
Zap Circle;Electricity:Current
Zap Square;Electricity:Current
Electricity;Electricity:Current
Electricity Danger;Electricity:Current
Light Bulb;Utility
Light Bulb Off;Utility
Light Bulb Electricity;Utility
Water Drop;Liquid
Fire A;Flame
Fire B;Flame
Gem Stone;Stone
Gem A;Stone
Gem B;Stone
Gem C;Stone
Wrench;Settings
Double Diamond;Cool Diamond
Shut Down;Power:Button
Color Swatch;Colors
Color Picker;Colors
Heart Health;Pulse:Health
Health Square;Pulse:Health
Health Circle;Pulse:Health
Hospital Circle;Plus:Health:Hospital
Hospital Square;Plus:Health:Hospital
Hospital Shield;Plus:Health:Hospital
First Aid Kit;Plus:Health:Hospital
Handicapped;Disabled:Health:Hospital
Hospital Plus;Health:Plus:Hospital
Tablet;Medicine:Hospital:Health
Megaphone A;Microphone:Loudspeaker:Speaker
Megaphone B;Microphone:Loudspeaker:Speaker
Crown A;Winner:Trophy:Crown:King
Crown B;Winner:Trophy:Crown:King
Trophy;Prize:Winner:Cup
Trophy Star;Prize:Winner:Cup
Trophy Circle;Prize:Winner:Cup
Trophy Up;Prize:Winner:Cup
Trophy Down;Prize:Winner:Cup
Goals;Goal:Target
Cup Hot;Mug:Tea:Water:Liquid
Water Glass;Cup:Drink:Water:Liquid
Thumbs Up;Like:Upvote
Thumbs Down;Dislike:Downvote
Pin;Marker
Mouse Pointer;Cursor:Click:Arrow Cursor:Indicator
Compass;Direction:Navigation:Map
Location;PinPoint:Place:GPS:Destination:Map
Map Marker;Location:GPS:Map
Location Pin;Map:GPS:Place
Direction Up;Send:Pointer
Direction Right;Send:Pointer
Direction Up Right;Send:Pointer
Direction Up 2;Send:Pointer
Direction Right 2;Send:Pointer
Direction Up Right 2;Send:Pointer
Arrow Right;Arrow
Arrow Down Right;Arrow
Arrow Down;Arrow
Arrow Down Left;Arrow
Arrow Left;Arrow
Arrow Up Left;Arrow
Arrow Up;Arrow
Arrow Up Right;Arrow
Chevron Right;Arrow:Dropdown
Chevron Down;Arrow:Dropdown
Chevron Left;Arrow:Dropdown
Chevron Up;Arrow:Dropdown
Caret Right;Arrow:Dropdown
Caret Down;Arrow:Dropdown
Caret Left;Arrow:Dropdown
Caret Up;Arrow:Dropdown
Double Arrow Right;Arrow
Double Arrow Left;Arrow
Double Arrow Down;Arrow
Double Arrow Up;Arrow
Scale Up;Arrow:Expand:Maximize:Upsize
Scale Down;Arrow:Contract:Minimize
Maximize;Arrow:Expand:Upsize: Scale Up
Minimize;Arrow:Contract:Scale Down
L Arrow Down Right;Arrow
L Arrow Left Down;Arrow
L Arrow Up Left;Arrow
L Arrow Right Up;Arrow
L Arrow Up Right;Arrow
L Arrow Left Up;Arrow
L Arrow Down Left;Arrow
L Arrow Right Down;Arrow
Arrows All Direction;Arrow
Arrows All Direction 2;Arrow
Select Box;Selection:Square:Box
Plus;Math:Add:Addition
Multiply;Math:X:Cross:Close:Multiplication
Minus;Math:Subtract:Dash
Divide;Math:Division
Check;Tick:Verify:Confirm:Select
Hash;Math
Dash Menu;Three Lines:Hamburger Menu:Bars:Navigation Menu
Align Center;Justification Center:Center Justification
Align Left;Justification Left:Left Justification
Align Right;Justification Right:Right Justification
Dots;Ellipsis:Three Dots:More
Dots Horizontal;Ellipsis Horizontal:Three Dots Horizontal:More Horizontal
Male;Man
Female;Woman
Exclamation Triangle;Danger:Warning:Caution:Attention
Exclamation Hexagon;Danger:Warning:Caution:Attention
Refresh;Reload:Circular Arrow:Restart:Reset
Reload;Refresh:Circular Arrow:Restart:Reset
Refresh Reverse;Refresh:Circular Arrow:Restart:Reset
Reload Reverse;Refresh:Circular Arrow:Restart:Reset
Exchange A;Refresh:Restart:Swap
Exchange B;Refresh:Restart:Swap
Double Arrow Circle;Exchange:Swap
Arrow Right Circle;Arrow: Circle
Arrow Down Right Circle;Arrow: Circle
Arrow Down Circle;Arrow: Circle
Arrow Down Left Circle;Arrow: Circle
Arrow Left Circle;Arrow: Circle
Arrow Up Left Circle;Arrow: Circle
Arrow Up Circle;Arrow: Circle
Arrow Up Right Circle;Arrow: Circle
Dots Circle;Ellipsis:Three Dots:More: Circle
Dots Horizontal Circle;Ellipsis Horizontal:Three Dots Horizontal:More Horizontal:Circle
Question Mark Circle;Question: Circle
Information Circle;Info: Circle
Plus Circle;Math:Add:Addition:Circle
Multiply Circle;Math:X:Cross:Close:Multiplication:Circle
Minus Circle;Math:Subtract:Dash:Circle
Divide Circle;Math:Division:Circle
Check Circle;Tick:Verify:Confirm:Select:Circle
Exclamation Circle;Danger:Warning:Caution:Attention:Circle
Play Circle;Media:Circle
Stop Circle;Media:Circle
User Circle;Person:Human:Profile:Account:Avatar:Circle
Chevron Right Circle;Arrow:Circle
Chevron Down Circle;Arrow:Circle
Chevron Left Circle;Arrow:Circle
Chevron Up Circle;Arrow:Circle
Tag Cross;Label:Category:Marker:Close:Multiply
Tag Plus;Label:Category:Marker:Add
Tag Minus;Label:Category:Marker:Subtract:Dash
Tag Check;Label:Category:Marker:Tick
Tag Question Mark;Label:Category:Marker:Question
Tag;Label:Category:Marker
Tag 2;Label:Category:Marker
Dashboard;Overview: Data Visualization: Performance: Metrics
Dashboard 2;Overview: Data Visualization: Performance: Metrics
Dashboard 3;Overview: Data Visualization: Performance: Metrics
Dashboard 4;Overview: Data Visualization: Performance: Metrics
Dashboard Plus;Overview: Data Visualization: Performance: Metrics
Dashboard Minus;Overview: Data Visualization: Performance: Metrics
Dashboard Cross;Overview: Data Visualization: Performance: Metrics
Dashboard Check;Overview: Data Visualization: Performance: Metrics
Chart B;Data Visualization:Chart:Graph:Analaytics
Chart Up B;Data Visualization:Chart:Graph:Analaytics
Chart Down B;Data Visualization:Chart:Graph:Analaytics
Chart Up;Data Visualization:Chart:Graph:Analaytics
Chart;Data Visualization:Chart:Graph:Analaytics
Chart Down;Data Visualization:Chart:Graph:Analaytics
Chart Vertical;Data Visualization:Chart:Graph:Analaytics
Chart 25;Data Visualization:Chart:Graph:Analaytics
Chart 50;Data Visualization:Chart:Graph:Analaytics
Chart 15;Data Visualization:Chart:Graph:Analaytics
Gift;Gift Box:Box
Database;Storage:System
Database 2;Storage:System
Wifi;Internet
Battery Full;Power:Energy
Battery Half;Power:Energy
Battery Low;Power:Energy
Battery Dead;Power:Energy
Battery Empty;Power:Energy
Battery Charging;Power:Energy
Aeroplane;Plane:Aircraft:Flight
Rocket;Upgrade:Boost:Spaceship
Server;Storage:System
Server 2;Storage:System
Message Round;Chat:Dialogue:Text:Conversation
Message Dots Round;Chat:Dialogue:Text:Conversation:Dots
Message Plus Round;Chat:Dialogue:Text:Conversation:Plus:Add
Message Minus Round;Chat:Dialogue:Text:Conversation:Subtract:Dash
Message Question Mark Round;Chat:Dialogue:Text:Conversation:Question Mark
Message Info Round;Chat:Dialogue:Text:Conversation:Information:Info
Message Check Round;Chat:Dialogue:Text:Conversation:Tick:Check
Message Dots Round Plus;Chat:Dialogue:Text:Conversation:Dots:Plus:Add
Message Dots Round Minus;Chat:Dialogue:Text:Conversation:Dots:Minus:Subtract:Dash
Message Dots Round Upload;Chat:Dialogue:Text:Conversation:Dots:Upload
Message Dots Round Download;Chat:Dialogue:Text:Conversation:Dots:Download
Message Dots Round Check;Chat:Dialogue:Text:Conversation:Dots:Check:Tick
Message Dots Round Cross;Chat:Dialogue:Text:Conversation:Dots:Cross:Close:X
Message Dots Round Question Mark;Chat:Dialogue:Text:Conversation:Dots:Question Mark
Message Dots;Chat:Dialogue:Text:Conversation:Dots
Message Plus;Chat:Dialogue:Text:Conversation:Plus:Add
Message Minus;Chat:Dialogue:Text:Conversation:Subtract:Dash
Message Question Mark;Chat:Dialogue:Text:Conversation:Question Mark
Message Information;Chat:Dialogue:Text:Conversation:Information:Info
Message;Chat:Dialogue:Text:Conversation
Message Check;Chat:Dialogue:Text:Conversation:Tick:Check
Message Dots Plus;Chat:Dialogue:Text:Conversation:Dots:Add:Plus
Message Dots Minus;Chat:Dialogue:Text:Conversation:Dots:Subtract:Minus
Message Dots Upload;Chat:Dialogue:Text:Conversation:Dots:Upload
Message Dots Download;Chat:Dialogue:Text:Conversation:Dots:Download
Message Dots Check;Chat:Dialogue:Text:Conversation:Dots:Check
Message Dots Cross;Chat:Dialogue:Text:Conversation:Dots:Close:X:Cross
Message Dots Question Mark;Chat:Dialogue:Text:Conversation:Dots:Question Mark
Inbox;Mailbox:Notification Center
Inbox Notification;Mailbox:Notification Center
Inbox Star;Mailbox:Notification Center
Inbox Plus;Mailbox:Notification Center
Inbox Minus;Mailbox:Notification Center
Inbox Upload;Mailbox:Notification Center
Inbox Download;Mailbox:Notification Center
Inbox Check;Mailbox:Notification Center
Inbox Cross;Mailbox:Notification Center
Inbox Question Mark;Mailbox:Notification Center
Message Conversation;Chat:Dialogue:Text:Conversation
Phone;Telephone:Call:Communication
Phone Call;Telephone:Call:Communication
Phone Cancel;Telephone:Call:Communication
Phone Outgoing;Telephone:Call:Communication
Phone Incoming;Telephone:Call:Communication
Phone Cross;Telephone:Call:Communication
Phone Plus;Telephone:Call:Communication
Phone Minus;Telephone:Call:Communication
Phone Missed Call;Telephone:Call:Communication
Phone Ringing Loud;Telephone:Call:Communication
Voicemail;Telephone:Call:Communication
Dialer Keypad;Phone:Call:Telephone
Sim Card;Network:Provider:Chip
Memory Card;Storage:Chip
Image;Photo:Picture:Photograph
Image Plus;Photo:Picture:Photograph:Add
Image Minus;Photo:Picture:Photograph:Subtract:Dash
Image Upload;Photo:Picture:Photograph
Image Download;Photo:Picture:Photograph
Image Check;Photo:Picture:Photograph:Tick
Image Cross;Photo:Picture:Photograph:Close:X
Image Question Mark;Photo:Picture:Photograph
GIF;Image
Play;Media
Pause;Media
Stop;Media
Fast Forward Back;Media
Fast Forward;Media
Previous;Media
Next;Media
Volume Up;Audio Up:Sound Up
Volume Down;Audio Down:Sound Down
Volume Zero;Audio Zero: Sound Zero
Volume Mute;Audio Mute:Sound Off:No Sound
Mobile Phone;Phone:Smart Phone:Device
Microphone;Device:Mic:Sound Recorder:Recorder
Microphone Mute;Off
Heaphone;Device:Music:Headset:Audio
Headphone Mute;Off
Mouse;Device:Clicking Device
Mouse 2;Device
Compact Disk;CD:Disc
Chip;Microprocessor:Technology
Keyboard;Device:QWERTY
Television;Device:TV:Screen:Display:Monitor
Television Plus;Device:TV:Screen:Display:Monitor:Add
Television Minus;Device:TV:Screen:Display:Monitor:Subtract:Dash
Television Upload;Device:TV:Screen:Display:Monitor
Television Download;Device:TV:Screen:Display:Monitor
Television Check;Device:TV:Screen:Display:Monitor:Tick
Television Cross;Device:TV:Screen:Display:Monitor:Close:X
Television Question Mark;Device:TV:Screen:Display:Monitor
Laptop;Device:Notebook:MacBook:Personal Computer
Camera;Device:Photo:Picture
Camera 2;Device:Photo:Picture
Focus;Focus:Camera:Lens
Lens;Camera:Lens
Video;Device:Video Recorder:Video Camera
Video Plus;Device:Video Recorder:Video Camera:Add
Video Minus;Device:Video Recorder:Video Camera:Subtract:Dash
Video Upload;Device:Video Recorder:Video Camera
Video Download;Device:Video Recorder:Video Camera
Video Check;Device:Video Recorder:Video Camera:Tick
Video Cross;Device:Video Recorder:Video Camera:Close:X
Video Question Mark;Device:Video Recorder:Video Camera
Media Reel H;Video:Reel
Media Reel V;Video:Reel
Video Player;Media Player:Play
Screencast;Share Screen:Mirror
Broadcast;Live
Playlist;List
Playlist Alternate;List
Playlist Add;Plus:Add:List
Preview;Arrow Box
Preview Circle;Arrow Circle
Music;Song
Music alternate;Song
Music Circle;Song Circle
Music Square;Song Square
Sound Waves;Sound:Wave
Printer;Device:Printing Machine
Robot;AI:Technology
Robot Appreciate;AI:Technology
Robot Sad;AI:Technology
Robot Happy;AI:Technology
Robot Dead;AI:Technology
Robot Wink;AI:Technology
Robot Uwu;AI:Technology
Robot Screen;AI:Technology
Gameboy;GameCube:Game:Device
Calculator;Device
Layout Up Left;Layout
Layout Up Right;Layout
Layout Center;Layout
Layout Grid;Layout
Layout Up;Layout
Layout Right;Layout
Layout Down;Layout
Layout Left;Layout
Chevron Right Square;Square:Arrow:Dropdown
Chevron Down Square;Square:Arrow:Dropdown
Chevron Left Square;Square:Arrow:Dropdown
Chevron Up Square;Square:Arrow:Dropdown
Arrow Right Square;Square:Arrow
Arrow Down Right Square;Square:Arrow
Arrow Down Square;Square:Arrow
Arrow Down Left Square;Square:Arrow
Arrow Left Square;Square:Arrow
Arrow Up Left Square;Square:Arrow
Arrow Up Square;Square:Arrow
Arrow Up Right Square;Square:Arrow
Plus Square;Square:Math:Add:Addition
Multiply Square;Sqaure:Math:Cross:Multiplication
Minus Square;Square:Math:Subtract:Dash
Divide Square;Square:Math:Divide
Check Square;Square:Tick
Question Mark Square;Square
Information Square;Square:Info
Exclamation Square;Square:Danger
Message Square;Square:Message:Chat:Dialogue:Text:Conversation
Message Round Square;Square:Message:Chat:Dialogue:Text:Conversation
User Square;Square:Person:Avatar:Human
Play Square;Square:Media
Pause Square;Square:Media
Stop Square;Square:Media
Dots Square;Square:More:Three Dots:Options
Dots Horizontal Square;Square:More:Three Dots:Options
Lock Square;Square:Security:Lock
Heart Square;Square:Heart
Search Square;Square:Search
Trash Square;Square:Dustbin:Recycle:Delete
Bell Notification Square;Square:Notification
Three D Box Square;Sqaure:3D Box
